253,the breeze and i,,catarina valentine,
254,from 9 to 5,,denise lor,
255,now-a-days,,betty madigan,
256,The Rose ,,bette midler,
257,it's getting better,,mama cass elliot,
258,pickin' up pieces,,brenda k starr,
259,the same moon,,mareen mcgovern,
260,shattered,,linda ronstadt,
261,can't we talk it over in bed,,Olivia Newton John,
262,the loveliest night of the year,,ann blyth,
263,after the lovin,,engelbert humperdinck,
264,the ballad of the green berets,,ssgt barry sadler,
265,alice doesn't live here anymore,,bobby goldsboro,
266,i can't forget last night,,jerry wayne,
267,broken promises,,pat torpey,
268,my way,,tom jones,
269,my buddy carl,,victor lundberg,
270,i'd do it all again,,vikki carr,
271,reason to believe,,cher,
272,never look back,,doris day,
273,military rap,,debbie harry,
274,never wanna leave you,,pat benatar,
275,it's gonna rain,,sonny-cher,
276,deep purple,,donny and marie osmond,
277,come to me,,johnny mathis,
278,promise,,kris peterson,
279,weekend in new england,,barry manilow,
280,dancer,,gino soccio,
281,fly me to the moon,,tony bennett,
282,a comboy's work is never done,,sonny-cher,
283,i'll never fall in love again,,florence henderson,
284,hotel happiness,,dora hall,
285,mama come save your child,,maureen cannon,
286,heart attack,,Olivia Newton John,
287,why,,donny osmond,
288,paper roses,,marie osmond,
289,memory lane,,lou rawls,
290,desiderata,,les crane,
291,saddle in the wind,,lou christie,
292,kentucky moon,,richard frost,
293,crying like a baby over you,,ernie maresca,
294,"flash, bang, wallop",,sammy davis jr,
295,bein natural bein me,,sammy davis jr,
296,i've gotta be me,,sammy davis jr,
297,you made me love you,,dean martin,
298,did your mother come,,Bing Crosby,
299,when irish eyes,,bing Crosby,
300,when irish eyes,,bing Crosby,
301,whatever happened to us,,George Burns,
302,this moment in time,,engelbert humperdinck,
303,stop breaking my heart,,tom jones,
304,tupelo miss flassh,,tom jones,
305,i get enthused,,bj thomas,
306,let it rain,,johnny mathis,
307,my love forgive me,,robert goulet,
308,are you lonesome tonight,,donny osmond,
309,long lonesome highway,,michael parks,
310,don't ever love me,,harry belefonte,
311,the last farewell ,,roger whittaker,
312,i think of you,,austin cromer,
313,gotta tell the world,,david fisher,
314,can't get over losing you,,donnie elbe,
315,look what you done for me,,al green,
316,nessuno,,teddy reno,
317,spring,,john tipton,
318,endlessly,,roger coleman,
319,sisters of mercy,,george hamilton IV,
320,i never felt more like,,tony bennett,
321,nobody,,perry como,
322,nel bly dipinto,,domenico modugno,
323,i am your child,,barry manilow,
324,heaven knows,,donna summers,
325,stop me,,donna summers,
326,silver bells,,bobby vinton,
327,i ain't gonna stand for it,,stevie wonder,
328,mountain high,,michael parks,
329,change of heart,,samantha sang,
330,theme from valley of the dolls,,dionne warnick,
331,torn between 2 lovers,,mary mcgecor,
332,just bidin my time,,anne murray,
333,a little love and understand ,,gilbert becaud,
334,a scottish soldier,,andy stewert,
335,purple man,,tom jones,
336,raindrops keep talking,,bj thomas,
337,long lonesome highway,,michael parks,
338,suzanne,,harry belefonte,
339,glen dora,,perry como,
340,wait for me baby,,g. stephens,
341,theme from friday the 13th part 3,,h. manfred in 8 mlager,
342,and this is my beloved,,p. faith,
343,the lady with the braid,,dory drevin,
344,south pacific,,richard rogers,
345,nothing to lose,,henry mancini,
346,green eyes,,monty kelly orchestra,
347,when the white lilacs bloom again,,leroy holmes,
348,dual in the sun,,dimitre tiomkin,
349,madcap,,henry rene orchestra,
350,"oh, main papa",,eddie calvert,
351,reflections,,bill conti,
352,"sunrise, sunset",,roger williams,
353,theme from love story,,roger williams,
354,take care,,roger williams,
355,"somewhere, my love",,ray conniff,
356,it takes two,,ray conniff,
357,i love how you love me,,ray conniff,
358,hold me tight,,ray conniff,
359,brass buttons,,mantovani,
360,you're nobody till somebody loves you,,russ morgan,
361,"my buddy/there's a long, long trail",,mitch miller,
362,song for a summer night,,mitch miller,
363,jesse johnson's review,,jesse johnson,
364,daughter of darkness,,tom jones,
365,what did i have that i don't have,,eydie gorme,
366,hot sunday music sanitation man,,ted phillips,
367,all of you,,j. iglesias/diana ross,
368,i'm coming,,inxs,
369,have you ever loved somebody,,freddie jackson,
370,you are my lady,,freddie jackson,
371,he'll never love you,,freddie jackson,
372,you are my lady,,freddie jackson,
373,love struck,,jesse johnson,
374,because,,ray conniff,
375,dary lady,,cher,
376,fascination,,rafael mendez,
377,for pete's sake,,pete fountain,
378,jungle dream,,los indios tabajaras,
379,wind meneath my wings,,bette midler,
380,this land,,marion lanza,
